id,product_id,src,alt,is_primary
350,998,/images/products/EP926741758_singolo_1751038145711.png,Epilact Sport Protezione Unghie,t
351,999,/images/products/EP973147061_singolo_1751038145714.png,PhysioStrap Ski,t
352,1000,/images/products/WSX244_singolo_1751038145715.png,Borraccia WHY Sport 500ml,t
353,1001,/images/products/WSX248_singolo_1751038145715.png,Borsone WHY Sport,t
354,1002,/images/products/WSX276_singolo_1751038145717.png,Sport Shaker WHY Sport,t
355,1003,/images/products/WSX368_singolo_1751038145719.png,Borraccia Sport 500ml,t
484,1140,/images/products/power-whey-amino-support-vaniglia.jpg,Power Whey Amino Support Vaniglia - Immagine prodotto,t
357,1005,/images/products/WSX179_singolo_1751038922384.png,Top Donna WHY Sport,t
358,1006,/images/products/WSX182_singolo_1751038922384.png,Short Donna WHY Sport,t
363,1007,/images/products/aminoacidi-essenziali-300g-cola-lemon.png,Aminoacidi Essenziali Cola Lemon 300g,t
485,1141,/images/products/power-whey-amino-support-cioccolato.jpg,Power Whey Amino Support Cioccolato - Immagine prodotto,t
486,1142,/images/products/power-whey-amino-support-cioccolato-cocco.jpg,Power Whey Amino Support Cioccolato-Cocco - Immagine prodotto,t
104,632,/images/products/06-big-bar-cocco.jpg,Big Bar Cocco 80g +Watt,t
105,632,/images/products/07-big-bar-cookie-nocciola.jpg,Big Bar Cookie Nocciola 80g +Watt,f
106,633,/images/products/08-carbo-energy-albicocca.jpg,Carbo Energy+ Albicocca 40g +Watt,t
107,633,/images/products/09-carbo-energy-frutti-bosco.jpg,Carbo Energy+ Frutti di Bosco 40g +Watt,f
108,633,/images/products/10-carbo-energy-agrumi.jpg,Carbo Energy+ Agrumi 40g +Watt,f
109,633,/images/products/11-carbo-energy-mela-verde.jpg,Carbo Energy+ Mela Verde 40g +Watt,f
110,634,/images/products/12-fruitforce-fragola.jpg,FruitForce Fragola 37ml +Watt,t
487,1143,/images/products/power-whey-amino-support-cookies-cream.jpg,Power Whey Amino Support Cookies & Cream - Immagine prodotto,t
112,636,/images/products/15-iso-soya-premier.jpg,Iso Soya Premier 750g,t
113,637,/images/products/16-light-protein-bar-cheesecake.jpg,Light PROTEIN+ Bar Cheesecake 50g Premier,t
114,637,/images/products/17-light-protein-bar-caramello.jpg,Light PROTEIN+ Bar Caramello 50g Premier,f
103,631,/images/products/03-barrettone-burro-arachidi.jpg,Barrettone 2.0 Burro Arachidi 70g +Watt,f
101,631,/images/products/04-barrettone-cacao.jpg,Barrettone 2.0 Cacao 70g +Watt,t
102,631,/images/products/05-barrettone-vaniglia.jpg,Barrettone 2.0 Vaniglia 70g +Watt,f
488,1144,/images/products/power-whey-amino-support-fruttirossi-banana.jpg,Power Whey Amino Support Frutti rossi-Banana - Immagine prodotto,t
368,1012,/images/products/vpr-vegetal-protein-integratore-alimentare-di-proteine-vegetali.png,VPR-VEGETAL PROTEIN INTEGRATORE ALIMENTARE DI PROTEINE VEGETALI,t
369,1013,/images/products/magnesium-glycinate.png,MAGNESIUM GLYCINATE,t
370,1014,/images/products/thermo-master.png,Thermo Master,t
372,1016,/images/products/maltoshot-endurance-plus.png,MALTOSHOT ENDURANCE PLUS,t
373,1017,/images/products/super-dextrin-sweet.jpg,Super Dextrin Energy Bar,t
381,1025,/images/products/glucosamina-+-condroitina-+-msm-+-vitamina-c.png,Glucosamina + Condroitina + MSM + Vitamina C,t
382,1026,/images/products/starter-1000.jpg,Starter 1000,t
383,1027,/images/products/caffeina-suprema.png,Caffeina Suprema,t
384,1028,/images/products/super-dextrin-gel-pro.png,Super Dextrin Gel Pro,t
489,1145,/images/products/power-whey-amino-support-wafer-nocciola.jpg,Power Whey Amino Support Wafer-Nocciola - Immagine prodotto,t
490,1146,/images/products/prime-casein-cioccolato.jpg,Prime Casein Cioccolato - Immagine prodotto,t
491,1147,/images/products/prime-casein-cioccolato-cocco.jpg,Prime Casein Cioccolato-Cocco - Immagine prodotto,t
492,1148,/images/products/prime-casein-vaniglia.jpg,Prime Casein Vaniglia - Immagine prodotto,t
493,1149,/images/products/prime-casein-wafer-nocciola.jpg,Prime Casein Wafer-Nocciola - Immagine prodotto,t
494,1150,/images/products/prime-oat-cioccolato.jpg,Prime Oat Cioccolato - Immagine prodotto,t
495,1151,/images/products/prime-oat-biscotto.jpg,Prime Oat Biscotto - Immagine prodotto,t
496,1152,/images/products/prime-oat-cioccolato-cocco.jpg,Prime Oat Cioccolato-Cocco - Immagine prodotto,t
563,1222,/images/products/caffè-verde-te-matcha-800mg.jpg,Caffè Verde+Tè Matcha 800mg 60 capsule,t
567,1226,/images/products/glutatione-liposomiale.jpg,Glutatione Liposomiale 30 capsule,t
564,1223,/images/products/cla-1000.jpg,CLA 1000 80 softgel,t
565,1224,/images/products/co-q10-forte-1000mg.jpg,CO-Q10 Forte 1000mg 90 capsule,t
399,926,/images/products/d-glucosio.jpg,D-Glucosio,t
566,1225,/images/products/depurixia-antiossidante.jpg,Depurixia 60 capsule,t
562,1221,/images/products/astaxantina-plus.jpg,Astaxantina Plus 60 capsule,t
405,932,/images/products/pocket-carnitine.jpg,Pocket Carnitine,t
403,929,/images/products/hard-beta-alanine.jpg,Hard Beta Alanine,t
404,930,/images/products/high-bcaa-2-1-1.jpg,High BCAA 2:1:1,t
406,933,/images/products/rm1-bcaa-recovery-mix.jpg,R.M.1 BCAA 8:1:1 Recovery Mix,t
402,928,/images/products/glutammina-plus-polvere-authentic.jpg,Glutammina+ Polvere,t
569,1228,/images/products/lipoic-800-crom.jpg,Lipoic 800 Crom 60 capsule,t
570,1229,/images/products/lipoic-b.jpg,Lipoic B 90 capsule,t
400,944,/images/products/essential-amino-9-3-finale.jpg,Essential Amino 9.3,t
401,941,/images/products/glutammina-pure-finale.jpg,Glutammina Pure,t
366,1011,/images/products/eaa-pro-finale.jpg,EAA Pro Anguria 420g,t
367,1011,/images/products/eaa-pro-finale.jpg,EAA Pro Melon 420g,f
498,1154,/images/products/prime-whey-hydro-plus-cioccolato.jpg,Prime Whey Hydro Plus Cioccolato - Immagine prodotto,t
501,1157,/images/products/prime-wpi-vaniglia.jpg,Prime WPI Vaniglia - Immagine prodotto,t
502,1158,/images/products/prime-wpi-cioccolato.jpg,Prime WPI Cioccolato - Immagine prodotto,t
374,1018,/images/products/testogen.png,Testogen,t
375,1019,/images/products/fluid-motion.png,Fluid Motion,t
376,1020,/images/products/collagene-ethicsport.png,Collagene,t
360,828,/images/products/complex-carbs-advanced-ratio.jpg,Complex Carbs Advanced Ratio,t
378,1022,/images/products/vitamina-c-1000.png,Vitamina C 1000,t
379,1023,/images/products/vitamina-d3-2000-iu.png,Vitamina D3 2000 IU,t
380,1024,/images/products/super-dextrin-pro.png,Super Dextrin Pro,t
385,1029,/images/products/repoxan.jpg,Repoxan,t
386,1030,/images/products/creatina-vector.jpg,Creatina Vector,t
503,1159,/images/products/pure-soy-isolate-cioccolato.jpg,Pure Soy Isolate Cioccolato - Immagine prodotto,t
504,1160,/images/products/pure-soy-isolate-wafer-nocciola.jpg,Pure Soy Isolate Wafer-Nocciola - Immagine prodotto,t
407,943,/images/products/essenziali-zero-carb-finale.jpg,Essenziali Zero Carb,t
505,1175,/images/products/whey-iso-vaniglia.jpg,Whey Iso Vaniglia,t
506,1176,/images/products/whey-iso-brownies.jpg,Whey Iso Brownies,t
507,1177,/images/products/whey-iso-cioccolato.jpg,Whey Iso Cioccolato,t
