id,product_id,value,unit,price
563,1140,1,kg,3650
193,877,Black Chocolate,900g,7990
124,773,300,g,990
564,1141,1,kg,3650
248,954,Cookies Crisp,24pz,3999
72,642,750,g,5499
73,642,750,g,5499
74,642,750,g,5499
565,1142,1,kg,3650
566,1143,1,kg,3650
262,971,Mandorle,40g,2100
567,1144,1,kg,3650
568,1145,1,kg,3650
569,1146,1,kg,4620
570,1147,1,kg,4620
571,1148,1,kg,4620
572,1149,1,kg,4620
573,1150,1,kg,1090
574,1151,1,kg,1090
575,1152,1,kg,1090
576,1153,1,kg,1090
622,1202,100,capsule,2099
623,1203,200,capsule,3998
624,1204,400,capsule,6890
625,1205,150,g,2299
626,1206,350,g,4199
104,751,200 mini softgel,conf,3990
627,1207,100,compresse,2790
628,1208,200,compresse,4990
247,954,Cookies Crisp,45g,260
258,968,Cappuccino,1360g,1590
259,968,Cacao,1360g,1590
227,951,350,g,790
263,971,Mandorle,25pz,210
213,945,40,g,260
230,953,1,kg,3490
112,759,90 compresse,conf,3490
111,758,60 compresse,conf,3590
133,797,60,compresse,1590
135,799,60,compresse,3490
136,800,90,compresse,2299
137,801,60,compresse,3300
138,802,60,compresse,3900
113,760,60 capsule,conf,3999
142,807,180,compresse,3400
98,745,120 compresse,conf,3190
125,774,60,compresse,2590
101,748,30 capsule,conf,2590
109,756,90 compresse,conf,2590
143,808,90,compresse,3300
106,753,100 softgel,conf,5290
151,810,600,g,1990
102,749,90 capsule,conf,3490
115,765,20,fiale,2800
100,747,90 compresse,conf,3490
116,766,60,compresse,3300
119,769,120,compresse,1900
107,754,330 compresse,conf,2890
129,778,25,g,250
239,959,450,450ml,1350
99,746,60 compresse,conf,2790
637,1217,150,g,2499
638,1218,350,g,4499
639,1219,150,g,2699
640,1220,350,g,4799
660,1240,60,perle,2595
661,1241,120,perle,4295
695,1274,"2,8",kg,5520
697,1276,"1,3",kg,3400
698,1277,"2,8",kg,5520
629,1209,100,capsule,2299
630,1210,200,capsule,4199
633,1213,200,g,1990
634,1214,400,g,3499
635,1215,200,g,1990
636,1216,400,g,3590
701,1280,30,compresse,1899
706,1281,325,g,3699
97,744,100 compresse,conf,1590
126,775,80,compresse,1990
130,779,90,capsule,3490
131,780,60,capsule,3990
132,796,60,compresse,1299
188,873,Cacao,750g,5990
189,873,Banana & Vaniglia,750g,5990
190,874,Vaniglia,900g,5490
191,875,Cacao,250g,2599
192,876,Cacao,750g,4190
224,948,40,g,240
225,949,50,g,320
228,952,35,g,290
229,952,24,pz,5490
233,955,75,g,390
234,955,24,pz,5490
235,956,350,g,990
412,877,Cioccolato,900g,7990
413,877,Fragola-Banana,900g,7990
414,877,Wafer Nocciola,900g,7990
415,877,Vaniglia,900g,7990
416,877,Cookie Cream,900g,7990
360,925,Neutro,150 compresse,1999
311,896,Vaniglia,900g,8490
577,1154,1,kg,5540
418,831,Limone,18 bustine,2340
314,638,Vaniglia,750g,5400
315,638,Cioccolato,750g,5400
316,638,Naturale,750g,5400
389,633,Albicocca,35g,230
278,986,100,compresse,2499
279,986,100,g,1799
280,986,300,compresse,6399
281,986,350,g,5499
375,822,Frutti di Bosco,500ml,250
376,822,Arancia,500ml,250
285,989,300,g,3790
286,990,120,compresse,2590
287,991,200,g,1990
288,991,500,g,3990
289,985,250,g,5499
298,1001,Standard,formato,3490
377,822,Limone,500ml,250
362,944,Neutro,120 compresse,6490
365,928,Neutro,500g,1699
390,633,Agrumi,35g,230
381,823,Arancia,300g,1999
382,823,Limone,300g,1999
383,823,Neutro,300g,1999
294,999,S,taglia,6850
317,871,Pesca,450g,3590
318,871,Cookies & Cream,450g,3590
319,871,Cioccolato al Latte,450g,3590
320,871,Cioccolato al Latte,900g,6590
321,871,Vaniglia,900g,6590
322,871,Pistacchio,900g,6590
323,900,Cacao Biscuit,1600g,5990
324,898,Cacao,750g,4199
325,897,Cioccolato,700g,3690
295,999,M,taglia,6850
406,825,60 capsule,conf,3200
408,827,60 compresse,conf,3400
420,820,60,capsule,2400
403,831,Limone,40g,130
411,828,1kg,conf,180
284,988,210,compresse,2400
312,896,Wafer Nocciola,900g,8490
339,639,Cacao,250g,1699
340,639,Nocciola,250g,1699
341,639,Nocciola,750g,4099
342,639,Cacao,750g,4099
343,639,Banana,750g,4099
344,639,Cappuccino,750g,4099
345,639,Cocco,750g,4099
346,639,Cacao & Menta,400g,2169
347,640,Vaniglia,750g,5399
348,640,Banana,750g,5399
349,640,Fior di Latte,750g,5399
350,640,Crema Nocciola,750g,5399
351,640,Natural,750g,5399
334,641,Vaniglia,750g,2599
335,641,Banana,750g,2599
336,641,Fior di Latte,750g,2599
337,641,Crema Nocciola,750g,2599
338,641,Natural,750g,2599
352,636,Vaniglia,750g,3990
578,1155,1,kg,5540
354,921,Neutro,500g,5899
579,1156,1,kg,5540
580,1157,1,kg,5680
357,924,Neutro,90 capsule,1899
358,940,Neutro,120 compresse,1890
361,926,Neutro,1kg,1899
353,920,Neutro,120 capsule,2599
364,941,Neutro,300g,2890
367,930,Neutro,200 compresse,2199
378,824,Tutti i Frutti,40g gel,280
379,824,Arancia,40g gel,280
373,943,Mela Lime,300g,3590
374,943,Tè alla Pesca,300g,3590
387,632,Cookie Nocciola,80g,419
388,632,Cocco,80g,419
380,824,Limone,40g gel,280
398,899,Cacao,330ml,390
399,947,Cacao,250g,1090
400,947,Gianduia,250g,1090
359,942,Neutro,200g,1980
366,929,Neutro,200g,3199
369,932,Neutro,20ml,499
370,933,Arancia,40g gel,219
384,631,Cacao,70g,430
385,631,Vaniglia,70g,430
386,631,Burro di Arachidi,70g,430
391,633,Frutti di Bosco,35g,230
392,633,Mela Verde,35g,230
393,634,Ananas,42g,180
581,1158,1,kg,5680
582,1159,900,g,2780
583,1160,900,g,2780
394,634,Fragola,42g,180
409,762,20 bustine,conf,1699
396,637,Caramello,45g,320
397,637,Cheesecake,45g,320
405,819,60 capsule,conf,1999
404,821,60 capsule,conf,3400
300,1003,500,ml,249
297,1000,500,ml,490
290,998,S,taglia,1398
291,998,M,taglia,1398
292,998,L,taglia,1398
293,998,XL,taglia,1398
296,999,L,taglia,6850
308,1006,S,taglia,1890
309,1006,M,taglia,1890
310,1006,L,taglia,1890
299,1002,600,ml,450
305,1005,S,taglia,1890
306,1005,M,taglia,1890
307,1005,L,taglia,1890
421,1007,300,g,4995
584,1175,1,kg,4280
585,1176,1,kg,4280
586,1177,1,kg,4280
587,1178,1,kg,4280
429,1011,Anguria,420g,4990
430,1011,Melon,420g,4990
588,1179,1,kg,4280
589,1180,2,kg,7630
590,1181,1,kg,4280
591,1182,1,kg,4280
592,1183,160,compresse,1480
593,1184,90,compresse,1370
594,1185,90,capsule,2690
595,1186,90,capsule,2795
596,1187,200,gr,3195
446,1025,Unico,120 capsule,3490
439,1018,Unico,120 capsule,3450
597,1161,100,compresse,1870
598,1162,180,compresse,2700
599,1163,300,compresse,2410
600,1164,500,compresse,3700
601,1165,150,compresse,1580
431,1012,Unico,500g,1990
432,1013,Unico,90 capsule,2190
433,1014,Unico,90 capsule,3250
435,1016,Unico,15 pz da 50 ml,4090
436,1016,Unico,15 pz da 50 ml,4090
437,1017,Unico,45g - 25 pz,7290
438,1017,Unico,45g - 25 pz,7290
602,1166,120,compresse,1670
440,1019,Unico,60 capsule,2250
441,1020,Unico,90 compresse,2290
443,1022,Unico,120 capsule,1890
444,1023,Unico,60 capsule,1990
445,1024,Unico,840g,3590
447,1026,Unico,400g,4190
448,1027,Unico,30 capsule,1890
449,1028,Unico,60 ml - 15 pz,4500
450,1028,Unico,60 ml - 15 pz,4500
451,1029,Unico,30 compresse,1650
452,1030,Unico,20 buste,2650
453,1031,Unico,300g,3490
454,1032,Unico,250 ml,2450
603,1167,1,kg,4730
604,1168,1,kg,4730
605,1169,1,kg,4730
606,1170,120,compresse,2050
607,1171,90,compresse,970
608,1172,240,compresse,970
609,1173,200,compresse,970
610,1174,60,compresse,1170
611,1188,70,capsule,2899
612,1189,120,capsule,1999
613,1190,120,capsule,2199
614,1191,200,capsule,2499
616,1193,90,capsule,1599
617,1194,90,capsule,2790
618,1195,120,capsule,1999
619,1196,300,g,2799
620,1197,60,capsule,2699
621,1198,60,capsule,1499
641,1221,60,capsule,2490
642,1222,60,capsule,2295
643,1223,80,softgel,2599
644,1224,90,capsule,3599
645,1225,60,capsule,3199
646,1226,30,capsule,2995
648,1228,60,capsule,3598
649,1229,90,capsule,3598
650,1230,60,compresse,2795
652,1232,60,softgel,2695
665,1245,90,compresse,1350
666,1246,1,kg,890
667,1247,200,compresse,2550
669,1249,500,g,2880
670,1250,200,compresse,2440
671,1251,200,compresse,2840
673,1253,150,compresse,1640
679,1259,750,g,3940
680,1260,750,g,3940
681,1261,90,softgel,1380
682,1262,200,softgel,2350
686,1266,1500,g,3400
694,1266,"1,3",kg,3400
696,1275,"1,3",kg,3400
699,1278,175,g,2599
615,1192,250,capsule,2199
700,1279,60,compresse,2495
683,1263,250,g,1830
684,1264,500,g,2440
703,1265,1,kg,3330
709,1283,400,g,3290
